participant_id,trial_number,phase,group,task_type,is_correct,word_count,rt_seconds,audio_duration_s,wps_rt,wps_audio,wps_used,wps_source
sub_a3e279103ed5,4,post_correct,1,operator,1,32,23.074,19.66,1.3868423333622257,1.6276703967446593,1.6276703967446593,audio
sub_a3e279103ed5,5,post_correct,1,operator,1,31,22.576,19.18,1.3731396172927002,1.616266944734098,1.616266944734098,audio
sub_0e1dca66af8d,1,unlabeled,1,tautological,0,384,240.109,239.14,1.5992736632112914,1.6057539516601156,1.6057539516601156,audio
sub_0e1dca66af8d,2,unlabeled,1,tautological,0,273,240.112,239.68,1.136969414273339,1.139018691588785,1.139018691588785,audio
sub_0e1dca66af8d,3,unlabeled,1,tautological,0,237,240.108,239.68,0.9870558248788045,0.988818424566088,0.988818424566088,audio
sub_0e1dca66af8d,4,unlabeled,1,tautological,0,290,240.108,239.68,1.2077898279107735,1.2099465954606141,1.2099465954606141,audio
sub_0e1dca66af8d,5,unlabeled,1,tautological,0,281,240.109,239.62,1.1703018212561795,1.1726900926466906,1.1726900926466906,audio
sub_2d300a4fe26a,1,unlabeled,1,tautological,0,320,240.14,239.8,1.3325560089947532,1.3344453711426187,1.3344453711426187,audio
sub_2d300a4fe26a,2,unlabeled,1,tautological,0,299,240.124,239.8,1.2451899851743267,1.2468723936613844,1.2468723936613844,audio
sub_2d300a4fe26a,3,unlabeled,1,tautological,0,285,240.125,239.8,1.1868818323789694,1.1884904086738948,1.1884904086738948,audio
sub_2d300a4fe26a,4,unlabeled,1,tautological,0,347,240.131,239.8,1.4450445798335076,1.4470391993327771,1.4470391993327771,audio
sub_2d300a4fe26a,5,unlabeled,1,tautological,0,377,240.133,239.8,1.5699633119979344,1.5721434528773977,1.5721434528773977,audio
sub_f0ad42f4c80f,1,pre_incorrect,1,value-loose-chunk,0,383,240.142,239.68,1.5948896902665923,1.5979639519359146,1.5979639519359146,audio
sub_f0ad42f4c80f,2,first_correct,1,value-loose-chunk,1,237,179.279,175.9,1.3219618583325432,1.3473564525298465,1.3473564525298465,audio
sub_f0ad42f4c80f,3,post_incorrect,1,value-loose-chunk,0,466,240.122,239.62,1.9406801542549204,1.9447458475920207,1.9447458475920207,audio
sub_f0ad42f4c80f,4,post_correct,1,value-loose-chunk,1,127,86.962,83.5,1.4604079942963593,1.5209580838323353,1.5209580838323353,audio
sub_f0ad42f4c80f,5,post_correct,1,value-loose-chunk,1,164,85.762,82.3,1.9122688370140621,1.9927095990279466,1.9927095990279466,audio
sub_97a093227203,1,pre_incorrect,1,hybrid,0,217,241.396,241.293,0.898937844869012,0.8993215716991375,0.8993215716991375,audio
sub_97a093227203,2,pre_incorrect,1,hybrid,0,278,241.541,241.434,1.1509433181116249,1.151453399272679,1.151453399272679,audio
sub_97a093227203,3,first_correct,1,hybrid,1,259,200.753,197.754,1.2901426130618223,1.3097080210766914,1.3097080210766914,audio
sub_97a093227203,4,post_correct,1,hybrid,1,101,61.224,58.214,1.6496798641055797,1.7349778403820386,1.7349778403820386,audio
sub_97a093227203,5,post_correct,1,hybrid,1,179,112.021,109.013,1.5979146767124022,1.6420059992844889,1.6420059992844889,audio
sub_d1b9242fdda8,1,pre_incorrect,1,value-tight-chunk,0,356,245.481,245.374,1.4502140695206553,1.450846462950435,1.450846462950435,audio
sub_d1b9242fdda8,2,first_correct,1,value-tight-chunk,1,448,213.434,210.314,2.0990095298780886,2.130148254514678,2.130148254514678,audio
sub_d1b9242fdda8,3,post_correct,1,value-tight-chunk,1,119,67.041,63.953,1.7750331886457542,1.8607414820258628,1.8607414820258628,audio
sub_d1b9242fdda8,4,post_correct,1,value-tight-chunk,1,81,45.548,42.453,1.7783437253007814,1.9079923680305277,1.9079923680305277,audio
sub_d1b9242fdda8,5,post_correct,1,value-tight-chunk,1,86,45.254,42.233,1.9003844963981085,2.0363223072005305,2.0363223072005305,audio
sub_b87bf837c6ae,1,pre_incorrect,1,operator,0,102,240.116,239.44,0.4247946825700911,0.42599398596725696,0.42599398596725696,audio
