participant_id,group,trial_number,task_type,phase,is_correct,audio_duration_s,speech_total_s,silence_total_s,speech_ratio_audio,lexical_total_s,nonlex_total_s,lexical_ratio_audio,nonlex_ratio_audio
sub_83928208bd4f,1,4,hybrid,post_correct,1,63.46,42.04800000000001,21.412000000000006,0.66259060825717,42.04800000000001,0.0,0.66259060825717,0.0
sub_83928208bd4f,1,5,hybrid,post_correct,1,55.36,39.502,15.857999999999997,0.7135476878612718,39.502,0.0,0.7135476878612718,0.0
sub_e3934e9a123e,1,1,value-loose-chunk,first_correct,1,16.84,8.172,8.668,0.48527315914489316,8.172,0.0,0.48527315914489316,0.0
sub_e3934e9a123e,1,2,value-loose-chunk,post_correct,1,17.56,8.876000000000001,8.684000000000001,0.5054669703872439,8.876000000000001,0.0,0.5054669703872439,0.0
sub_e3934e9a123e,1,3,value-loose-chunk,post_correct,1,15.34,7.768,7.572,0.5063885267275098,7.768,0.0,0.5063885267275098,0.0
sub_e3934e9a123e,1,4,value-loose-chunk,post_correct,1,17.38,8.18,9.2,0.4706559263521289,8.18,0.0,0.4706559263521289,0.0
sub_e3934e9a123e,1,5,value-loose-chunk,post_correct,1,14.8,7.44,7.359999999999999,0.5027027027027027,7.44,0.0,0.5027027027027027,0.0
sub_530e7d6c33a4,1,1,tautological,unlabeled,0,239.74,122.04600000000002,117.694,0.5090764995411696,121.73000000000002,0.316,0.5077584049386836,0.0013180946024860265
sub_530e7d6c33a4,1,2,tautological,unlabeled,0,239.8,85.88400000000004,153.916,0.3581484570475398,85.02400000000006,0.86,0.35456213511259405,0.003586321934945788
sub_530e7d6c33a4,1,3,tautological,unlabeled,0,239.8,65.398,174.40200000000002,0.27271893244370304,65.398,0.0,0.27271893244370304,0.0
sub_530e7d6c33a4,1,4,tautological,unlabeled,0,239.74,53.883999999999986,185.85600000000002,0.22476015683657288,53.883999999999986,0.0,0.22476015683657288,0.0
